rho	Te		Ti		ne
0.519	1.440E+04	1.330E+04	3.839E+20
0.525	1.425E+04	1.317E+04	3.828E+20
0.532	1.410E+04	1.305E+04	3.817E+20
0.538	1.396E+04	1.292E+04	3.805E+20
0.545	1.382E+04	1.280E+04	3.793E+20
0.551	1.367E+04	1.268E+04	3.780E+20
0.557	1.354E+04	1.256E+04	3.767E+20
0.563	1.340E+04	1.244E+04	3.753E+20
0.569	1.326E+04	1.233E+04	3.740E+20
0.575	1.313E+04	1.221E+04	3.725E+20
0.581	1.300E+04	1.210E+04	3.711E+20
0.587	1.287E+04	1.199E+04	3.696E+20
0.593	1.274E+04	1.188E+04	3.681E+20
0.599	1.262E+04	1.177E+04	3.665E+20
0.605	1.249E+04	1.166E+04	3.649E+20
0.61	1.237E+04	1.156E+04	3.633E+20
0.616	1.225E+04	1.145E+04	3.616E+20
0.621	1.213E+04	1.135E+04	3.599E+20
0.627	1.202E+04	1.125E+04	3.582E+20
0.632	1.190E+04	1.115E+04	3.564E+20
0.638	1.179E+04	1.105E+04	3.547E+20
0.643	1.168E+04	1.095E+04	3.528E+20
0.649	1.157E+04	1.085E+04	3.510E+20
0.654	1.146E+04	1.076E+04	3.491E+20
0.659	1.135E+04	1.066E+04	3.472E+20
0.664	1.125E+04	1.057E+04	3.453E+20
0.67	1.114E+04	1.048E+04	3.433E+20
0.675	1.104E+04	1.039E+04	3.413E+20
0.68	1.094E+04	1.030E+04	3.393E+20
0.685	1.084E+04	1.021E+04	3.373E+20
0.69	1.074E+04	1.012E+04	3.352E+20
0.695	1.064E+04	1.004E+04	3.332E+20
0.7	1.055E+04	9.954E+03	3.311E+20
0.705	1.046E+04	9.870E+03	3.289E+20
0.71	1.036E+04	9.788E+03	3.268E+20
0.714	1.027E+04	9.707E+03	3.246E+20
0.719	1.018E+04	9.627E+03	3.225E+20
0.724	1.009E+04	9.548E+03	3.203E+20
0.729	1.001E+04	9.470E+03	3.180E+20
0.733	9.921E+03	9.393E+03	3.158E+20
0.738	9.837E+03	9.317E+03	3.136E+20
0.743	9.754E+03	9.242E+03	3.113E+20
0.747	9.672E+03	9.168E+03	3.090E+20
0.752	9.591E+03	9.095E+03	3.067E+20
0.757	9.511E+03	9.024E+03	3.044E+20
0.761	9.433E+03	8.953E+03	3.021E+20
0.766	9.356E+03	8.883E+03	2.998E+20
0.77	9.280E+03	8.814E+03	2.974E+20
0.775	9.205E+03	8.745E+03	2.951E+20
0.779	9.131E+03	8.678E+03	2.927E+20
0.783	9.058E+03	8.612E+03	2.904E+20
0.788	8.986E+03	8.547E+03	2.880E+20
0.792	8.915E+03	8.482E+03	2.856E+20
0.797	8.846E+03	8.418E+03	2.832E+20
0.801	8.777E+03	8.355E+03	2.808E+20
0.805	8.709E+03	8.293E+03	2.784E+20
0.809	8.643E+03	8.232E+03	2.760E+20
0.814	8.577E+03	8.172E+03	2.736E+20
0.818	8.513E+03	8.112E+03	2.712E+20
0.822	8.449E+03	8.054E+03	2.688E+20
0.826	8.386E+03	7.996E+03	2.664E+20
0.83	8.324E+03	7.939E+03	2.640E+20
0.835	8.264E+03	7.883E+03	2.615E+20
0.839	8.204E+03	7.827E+03	2.591E+20
0.843	8.145E+03	7.773E+03	2.567E+20
0.847	8.087E+03	7.719E+03	2.543E+20
0.851	8.030E+03	7.666E+03	2.519E+20
0.855	7.974E+03	7.614E+03	2.495E+20
0.859	7.919E+03	7.563E+03	2.471E+20
0.863	7.865E+03	7.513E+03	2.447E+20
0.867	7.813E+03	7.464E+03	2.422E+20
0.871	7.761E+03	7.415E+03	2.398E+20
0.875	7.710E+03	7.368E+03	2.375E+20
0.879	7.660E+03	7.321E+03	2.351E+20
0.883	7.611E+03	7.276E+03	2.327E+20
0.887	7.564E+03	7.231E+03	2.303E+20
0.891	7.517E+03	7.187E+03	2.279E+20
